week,home_team,home_score_est,away_team,visitor_score_est,spread_line,home_moneyline,away_moneyline,total_line,win_prob,home_score_actual,away_score_actual
9,NE,23.5,WAS,18.7,NA,NA,NA,NA,0.656,NA,NA
9,NO,26.7,CHI,15.5,NA,NA,NA,NA,0.791,NA,NA
9,CAR,19.5,IND,25.2,NA,NA,NA,NA,0.276,NA,NA
9,LV,22.7,NYG,19.9,NA,NA,NA,NA,0.539,NA,NA
9,PHI,24.6,DAL,21.1,NA,NA,NA,NA,0.617,NA,NA
9,CIN,17.4,BUF,30.9,NA,NA,NA,NA,0.111,NA,NA
9,NYJ,22.6,LAC,27.1,NA,NA,NA,NA,0.208,NA,NA
10,CHI,21.4,CAR,22.1,NA,NA,NA,NA,0.5,NA,NA
10,NE,22.4,IND,20.1,NA,NA,NA,NA,0.598,NA,NA
10,BAL,23.4,CLE,17,NA,NA,NA,NA,0.757,NA,NA
10,CIN,20.4,HOU,26.2,NA,NA,NA,NA,0.302,NA,NA
10,JAX,20.1,SF,27.1,NA,NA,NA,NA,0.258,NA,NA
10,MIN,22.8,NO,21.9,NA,NA,NA,NA,0.611,NA,NA
10,PIT,20.6,GB,23.1,NA,NA,NA,NA,0.331,NA,NA
10,TB,20.7,TEN,17.2,NA,NA,NA,NA,0.693,NA,NA
10,ARI,30,ATL,21.5,NA,NA,NA,NA,0.76,NA,NA
10,LAC,23.6,DET,28.6,NA,NA,NA,NA,0.361,NA,NA
10,DAL,28.5,NYG,11.8,NA,NA,NA,NA,0.9,NA,NA
10,SEA,28.2,WAS,19,NA,NA,NA,NA,0.758,NA,NA
10,LV,19,NYJ,22.6,NA,NA,NA,NA,0.386,NA,NA
10,BUF,32.1,DEN,18,NA,NA,NA,NA,0.863,NA,NA
11,BAL,27.7,CIN,16,NA,NA,NA,NA,0.856,NA,NA
11,CAR,15.2,DAL,27.1,NA,NA,NA,NA,0.164,NA,NA
11,CLE,21.6,PIT,14.7,NA,NA,NA,NA,0.739,NA,NA
11,DET,32.6,CHI,13.4,NA,NA,NA,NA,0.938,NA,NA
11,GB,25.1,LAC,27.2,NA,NA,NA,NA,0.356,NA,NA
11,HOU,27.6,ARI,24.9,NA,NA,NA,NA,0.499,NA,NA
11,JAX,22,TEN,18.2,NA,NA,NA,NA,0.697,NA,NA
11,MIA,30.1,LV,19.2,NA,NA,NA,NA,0.894,NA,NA
11,WAS,24.7,NYG,17,NA,NA,NA,NA,0.771,NA,NA
11,SF,28.4,TB,18,NA,NA,NA,NA,0.799,NA,NA
11,BUF,29.3,NYJ,13.9,NA,NA,NA,NA,0.919,NA,NA
11,LA,23.1,SEA,27.3,NA,NA,NA,NA,0.392,NA,NA
11,DEN,26,MIN,27.4,NA,NA,NA,NA,0.394,NA,NA
11,KC,24.8,PHI,25.1,NA,NA,NA,NA,0.476,NA,NA
12,DET,30.3,GB,18.6,NA,NA,NA,NA,0.81,NA,NA
12,DAL,26.4,WAS,16.3,NA,NA,NA,NA,0.753,NA,NA
12,SEA,23.4,SF,26.9,NA,NA,NA,NA,0.358,NA,NA
12,NYJ,24.2,MIA,28,NA,NA,NA,NA,0.198,NA,NA
12,ATL,17.8,NO,23.6,NA,NA,NA,NA,0.366,NA,NA
12,CIN,21.7,PIT,20.3,NA,NA,NA,NA,0.57,NA,NA
12,HOU,24.7,JAX,22,NA,NA,NA,NA,0.542,NA,NA
12,IND,21.5,TB,22,NA,NA,NA,NA,0.478,NA,NA
12,NYG,16.6,NE,25.9,NA,NA,NA,NA,0.193,NA,NA
12,TEN,23.8,CAR,16.6,NA,NA,NA,NA,0.701,NA,NA
12,ARI,30.1,LA,26.3,NA,NA,NA,NA,0.545,NA,NA
12,DEN,22.6,CLE,24.3,NA,NA,NA,NA,0.47,NA,NA
12,LV,17.2,KC,29.7,NA,NA,NA,NA,0.12,NA,NA
12,PHI,24.4,BUF,25.7,NA,NA,NA,NA,0.395,NA,NA
12,LAC,24.4,BAL,26.3,NA,NA,NA,NA,0.457,NA,NA
12,MIN,28.8,CHI,18,NA,NA,NA,NA,0.832,NA,NA
13,DAL,23.6,SEA,21.2,NA,NA,NA,NA,0.522,NA,NA
13,NE,23.6,LAC,24.2,NA,NA,NA,NA,0.407,NA,NA
