TEAM,TOTAL DVOA RANK,TOTAL DVOA,LAST WEEK,NON-ADJ TOTAL VOA,W-L,OFFENSE DVOA,OFFENSE RANK,DEFENSE DVOA,DEFENSE RANK,SPECIAL TEAMS DVOA,SPECIAL TEAMS RANK,OFFENSE VOA UNADJ,DEFENSE VOA UNADJ,SPECIAL VOA UNADJ,ESTIMATED WINS,RANK,WEIGHTED DVOA,WEIGHT RANK,PAST SCHEDULE,PAST RANK,FUTURE SCHEDULE,FUTURE RANK,VARIANCE,VAR RANK,PYTH WINS,Rank
JAC,11,0.10286088255521669,2,0.048673135170295395,1-1,-0.116662855925315,22,-0.124581712287668,8,0.0949420261928637,2,-0.153704814846429,-0.0834357971083074,0.118942152908417,1.15170302979545,12,0.102860882555217,11,0.0783296861441038,12,-0.0186682089750823,22,0.493051965092888,32,,
KC,12,0.0956967859076743,20,0.1254114086087977,1-1,0.0884335499572753,12,0.0218829593726241,18,0.0291461953230231,8,0.105996997339284,0.0239485103923435,0.0433629216618572,1.11085627726633,13,0.0956967859076743,12,0.0406155113823719,15,-0.0723890866359349,28,0.0660621457260466,19,,
NO,13,0.09431040692852723,12,0.1743930623296515,1-0,-0.165627113610414,24,-0.297092879801975,4,-0.0371553592630338,25,-0.114224214349773,-0.297092879801975,-0.00847560312255052,1.34534413372242,10,0.0943104069285272,13,-0.197556921214651,24,-0.0587228528405272,27,0.0044472264275122,5,,
ATL,14,0.0651665931998965,8,0.06576176357746848,2-0,0.0310686858005859,15,-0.0496669826252648,14,-0.0155690752259542,20,0.0515822474306813,-0.004340100672061,0.00983941547472618,1.05636219279607,14,0.0651665931998965,14,0.0486058990206085,14,-0.0420828158295009,24,0.142101979464051,25,,
IND,15,0.060962586380533194,28,0.0537203926017633,1-1,-0.0216716557177908,19,-0.118836118472649,9,-0.036201876374325,24,-0.0255518288242621,-0.0953828566720028,-0.0161106352459774,0.688846102875148,22,0.0609625863805332,15,-0.155824816783421,22,-0.0812121722124179,29,0.416241022852956,31,,
MIN,16,0.0405249898826646,19,-0.0539329059422819,0-1,0.0527757471793335,14,0.0476529080044683,19,0.0354021507077994,7,-0.0517748973201538,0.0476529080044683,0.0454948993823402,0.697594827733286,20,0.0405249898826647,16,0.178823066717046,9,-0.0526402461766463,26,0.0439376734812716,17,,
DET,17,-0.021629859790473233,13,-0.043646900088177586,1-1,0.118257264028695,9,0.146576133921669,23,0.00668901010250075,14,0.0822259546774908,0.146576133921669,0.0207032791560006,1.01382069167729,15,-0.0216298597904732,17,0.0138163354857519,16,0.0187713181467118,13,0.0131785885471192,9,,
ARI,18,-0.02257155670954592,22,-0.07651765022208404,0-2,-0.0474444528533891,21,-0.0173657491305623,17,0.00750714701328088,13,-0.103122453445021,0.00418014128089485,0.0307849445038318,0.68325468845927,23,-0.0225715567095459,18,-0.215762700510431,26,0.032493541616826,10,0.0362613479196971,15,,
LA,19,-0.05597606679388138,11,-0.0624686897280171,1-1,0.189209816564815,5,0.199829430545872,28,-0.0453564528128244,27,0.189209816564815,0.225121118625171,-0.0265573876676611,0.970292767549468,16,-0.0559760667938814,19,0.187191235036098,7,0.0681275827930314,3,0.0464816810916372,18,,
SEA,20,-0.0680641149361706,24,-0.057190160785186406,1-1,0.114508085606519,10,0.131720081788887,22,-0.0508521187538026,28,0.114508085606519,0.142326816117636,-0.0293714302740694,0.86728193873109,17,-0.0680641149361706,20,-0.0388029632921773,18,0.0420858431330283,8,0.0234998517908173,12,,
